"filename", "language", "PHP", "JSON", "Markdown", "XML", "YAML", "JavaScript", "CSS", "Batch", "Shell Script", "SQLite", "SCSS", "HTML", "comment", "blank", "total"
"c:\xampp\htdocs\cscs\404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 8
"c:\xampp\htdocs\cscs\admin\404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 9
"c:\xampp\htdocs\cscs\admin\categories\index.php", "PHP", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 117
"c:\xampp\htdocs\cscs\admin\categories\manage_category.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 74
"c:\xampp\htdocs\cscs\admin\categories\view_category.php", "PHP", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 37
"c:\xampp\htdocs\cscs\admin\home.php", "PHP", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 98
"c:\xampp\htdocs\cscs\admin\inc\defaultNav.php", "PHP", 156, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 164
"c:\xampp\htdocs\cscs\admin\inc\footer.php", "PHP", 121, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 125
"c:\xampp\htdocs\cscs\admin\inc\header.php", "PHP", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 57
"c:\xampp\htdocs\cscs\admin\inc\navigation.php", "PHP", 134, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 136
"c:\xampp\htdocs\cscs\admin\inc\sess_auth.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\xampp\htdocs\cscs\admin\inc\topBarNav.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 74
"c:\xampp\htdocs\cscs\admin\index.php", "PHP", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 92
"c:\xampp\htdocs\cscs\admin\login.php", "PHP", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 77
"c:\xampp\htdocs\cscs\admin\products\index.php", "PHP", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119
"c:\xampp\htdocs\cscs\admin\products\manage_product.php", "PHP", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 96
"c:\xampp\htdocs\cscs\admin\products\view_product.php", "PHP", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"c:\xampp\htdocs\cscs\admin\reports\index.php", "PHP", 166, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 167
"c:\xampp\htdocs\cscs\admin\sales\index.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 74
"c:\xampp\htdocs\cscs\admin\sales\manage_sale.php", "PHP", 340, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 345
"c:\xampp\htdocs\cscs\admin\sales\view_details.php", "PHP", 189, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 189
"c:\xampp\htdocs\cscs\admin\system_info\index.php", "PHP", 172, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 181
"c:\xampp\htdocs\cscs\admin\user\index.php", "PHP", 96, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 98
"c:\xampp\htdocs\cscs\admin\user\list.php", "PHP", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119
"c:\xampp\htdocs\cscs\admin\user\manage_user.php", "PHP", 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 111
"c:\xampp\htdocs\cscs\assets\css\styles.css", "CSS", 0, 0, 0, 0, 0, 0, 9487, 0, 0, 0, 0, 0, 31, 1219, 10737
"c:\xampp\htdocs\cscs\assets\js\scripts.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 7
"c:\xampp\htdocs\cscs\build\config\.eslintrc.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\xampp\htdocs\cscs\build\config\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\xampp\htdocs\cscs\build\config\rollup.config.js", "JavaScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 9, 3, 33
"c:\xampp\htdocs\cscs\build\js\AdminLTE.js", "JavaScript", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 2, 34
"c:\xampp\htdocs\cscs\build\js\CardRefresh.js", "JavaScript", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 0, 20, 32, 154
"c:\xampp\htdocs\cscs\build\js\CardWidget.js", "JavaScript", 0, 0, 0, 0, 0, 170, 0, 0, 0, 0, 0, 0, 20, 49, 239
"c:\xampp\htdocs\cscs\build\js\ControlSidebar.js", "JavaScript", 0, 0, 0, 0, 0, 238, 0, 0, 0, 0, 0, 0, 30, 55, 323
"c:\xampp\htdocs\cscs\build\js\DirectChat.js", "JavaScript", 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 24, 20, 85
"c:\xampp\htdocs\cscs\build\js\Dropdown.js", "JavaScript", 0, 0, 0, 0, 0, 91, 0, 0, 0, 0, 0, 0, 25, 31, 147
"c:\xampp\htdocs\cscs\build\js\ExpandableTable.js", "JavaScript", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 24, 20, 116
"c:\xampp\htdocs\cscs\build\js\Fullscreen.js", "JavaScript", 0, 0, 0, 0, 0, 70, 0, 0, 0, 0, 0, 0, 24, 24, 118
"c:\xampp\htdocs\cscs\build\js\IFrame.js", "JavaScript", 0, 0, 0, 0, 0, 275, 0, 0, 0, 0, 0, 0, 25, 57, 357
"c:\xampp\htdocs\cscs\build\js\Layout.js", "JavaScript", 0, 0, 0, 0, 0, 173, 0, 0, 0, 0, 0, 0, 27, 46, 246
"c:\xampp\htdocs\cscs\build\js\NavbarSearch.js", "JavaScript", 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 0, 24, 26, 112
"c:\xampp\htdocs\cscs\build\js\PushMenu.js", "JavaScript", 0, 0, 0, 0, 0, 150, 0, 0, 0, 0, 0, 0, 25, 49, 224
"c:\xampp\htdocs\cscs\build\js\SidebarSearch.js", "JavaScript", 0, 0, 0, 0, 0, 216, 0, 0, 0, 0, 0, 0, 25, 58, 299
"c:\xampp\htdocs\cscs\build\js\Toasts.js", "JavaScript", 0, 0, 0, 0, 0, 143, 0, 0, 0, 0, 0, 0, 21, 46, 210
"c:\xampp\htdocs\cscs\build\js\TodoList.js", "JavaScript", 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 0, 0, 25, 28, 119
"c:\xampp\htdocs\cscs\build\js\Treeview.js", "JavaScript", 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 0, 0, 25, 36, 176
"c:\xampp\htdocs\cscs\build\npm\.eslintrc.json", "JSON", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"c:\xampp\htdocs\cscs\build\npm\DocsPlugins.js", "JavaScript", 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 6, 3, 49
"c:\xampp\htdocs\cscs\build\npm\DocsPublish.js", "JavaScript", 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 0, 0, 2, 9, 54
"c:\xampp\htdocs\cscs\build\npm\Plugins.js", "JavaScript", 0, 0, 0, 0, 0, 392, 0, 0, 0, 0, 0, 0, 42, 4, 438
"c:\xampp\htdocs\cscs\build\npm\Publish.js", "JavaScript", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 0, 2, 10, 60
"c:\xampp\htdocs\cscs\build\npm\vnu-jar.js", "JavaScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 27, 7, 56
"c:\xampp\htdocs\cscs\build\scss\_adminlte.raw.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 17, 4, 30
"c:\xampp\htdocs\cscs\build\scss\_alerts.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 0, 4, 7, 37
"c:\xampp\htdocs\cscs\build\scss\_bootstrap-variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 587, 0, 95, 230, 912
"c:\xampp\htdocs\cscs\build\scss\_brand.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85, 0, 3, 19, 107
"c:\xampp\htdocs\cscs\build\scss\_buttons.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 10, 19, 143
"c:\xampp\htdocs\cscs\build\scss\_callout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 41, 0, 5, 12, 58
"c:\xampp\htdocs\cscs\build\scss\_cards.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 400, 0, 29, 93, 522
"c:\xampp\htdocs\cscs\build\scss\_carousel.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 0, 3, 3, 29
"c:\xampp\htdocs\cscs\build\scss\_close.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 8, 8, 45
"c:\xampp\htdocs\cscs\build\scss\_colors.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 0, 13, 19, 105
"c:\xampp\htdocs\cscs\build\scss\_control-sidebar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 136, 0, 10, 28, 174
"c:\xampp\htdocs\cscs\build\scss\_direct-chat.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 198, 0, 7, 42, 247
"c:\xampp\htdocs\cscs\build\scss\_dropdown.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 248, 0, 26, 48, 322
"c:\xampp\htdocs\cscs\build\scss\_elevation.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 3, 15
"c:\xampp\htdocs\cscs\build\scss\_forms.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 334, 0, 20, 51, 405
"c:\xampp\htdocs\cscs\build\scss\_info-box.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 0, 3, 23, 154
"c:\xampp\htdocs\cscs\build\scss\_layout.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 543, 0, 15, 115, 673
"c:\xampp\htdocs\cscs\build\scss\_main-header.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 147, 0, 6, 29, 182
"c:\xampp\htdocs\cscs\build\scss\_main-sidebar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 926, 0, 39, 179, 1144
"c:\xampp\htdocs\cscs\build\scss\_miscellaneous.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 410, 0, 22, 80, 512
"c:\xampp\htdocs\cscs\build\scss\_mixins.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 3, 2, 14
"c:\xampp\htdocs\cscs\build\scss\_modals.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 5, 8, 77
"c:\xampp\htdocs\cscs\build\scss\_navs.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 119, 0, 5, 22, 146
